compound_name,filename,conc_um_in_vial,amendment,depth,conc_nm_in_env
Glycine,210916_Smp_Amm-Surf-Eve-T0-C-wIS.mzML,0.7688604482173067,Amm,Surf,0.1537720896434613
Glycine,210916_Smp_Amm-Surf-Eve-T0-A-wIS.mzML,1.2772700890848538,Amm,Surf,0.2554540178169708
Glycine,210916_Smp_Amm-Deep-Eve-T0-C-wIS.mzML,0.5449567399941303,Amm,Deep,0.10899134799882607
Glycine,210916_Smp_Amm-Deep-Eve-T0-B-wIS.mzML,0.3312388640323924,Amm,Deep,0.06624777280647848
Glycine,210916_Smp_Amm-Surf-Morn-T0-A-wIS.mzML,0.37550844075281237,Amm,Surf,0.07510168815056247
Glycine,210916_Smp_Amm-Deep-Eve-T0-A-wIS.mzML,0.42657885737032264,Amm,Deep,0.08531577147406452
Glycine,210916_Smp_Amm-Deep-Morn-T0-C-wIS.mzML,0.39141569104140456,Amm,Deep,0.07828313820828092
Glycine,210916_Smp_Amm-Deep-Morn-T0-A-wIS.mzML,0.3321497141994903,Amm,Deep,0.06642994283989806
Glycine,210916_Smp_Amm-Surf-Eve-T0-B-wIS.mzML,0.7416188982904409,Amm,Surf,0.14832377965808818
Glycine,210916_Smp_Amm-Surf-Morn-T0-C-wIS.mzML,0.33778052178345036,Amm,Surf,0.06755610435669007
Glycine,210916_Smp_Amm-Surf-Morn-T0-B-wIS.mzML,0.37155014980267037,Amm,Surf,0.07431002996053408
Glycine,210916_Smp_Amm-Deep-Morn-T0-B-wIS.mzML,0.28920266547558604,Amm,Deep,0.05784053309511721
Glycine,220729_Smp_Arg-Deep-Eve-T0-A-wIS.mzML,0.43876215470303254,Arg,Deep,0.0877524309406065
Glycine,220729_Smp_Arg-Surf-Morn-T0-B-wIS.mzML,0.7684024021647339,Arg,Surf,0.15368048043294677
Glycine,220729_Smp_Arg-Surf-Eve-T0-B-wIS.mzML,1.329489515430889,Arg,Surf,0.2658979030861778
Glycine,220729_Smp_Arg-Surf-Morn-T0-C-wIS.mzML,1.5099103368030695,Arg,Surf,0.3019820673606139
Glycine,220729_Smp_Arg-Deep-Morn-T0-A-wIS.mzML,0.2762045515928773,Arg,Deep,0.05524091031857546
Glycine,220729_Smp_Arg-Surf-Morn-T0-A-wIS.mzML,0.747498548424203,Arg,Surf,0.1494997096848406
Glycine,220729_Smp_Arg-Surf-Eve-T0-A-wIS.mzML,0.7586164257526645,Arg,Surf,0.1517232851505329
Glycine,220729_Smp_Arg-Surf-Eve-T0-C-wIS.mzML,0.4790090107849776,Arg,Surf,0.09580180215699552
Glycine,220729_Smp_Arg-Deep-Eve-T0-C-wIS.mzML,0.48621733205433026,Arg,Deep,0.09724346641086604
Glycine,220729_Smp_Arg-Deep-Morn-T0-B-wIS.mzML,0.2480184427976337,Arg,Deep,0.04960368855952674
Glycine,220729_Smp_Arg-Deep-Eve-T0-B-wIS.mzML,0.3268340368288652,Arg,Deep,0.06536680736577305
Glycine,220729_Smp_Arg-Deep-Morn-T0-C-wIS.mzML,0.3040617011927294,Arg,Deep,0.060812340238545884
Glycine,220715_Smp_GMP-Surf-Morn-T0-C-wIS.mzML,0.729644242856405,GMP,Surf,0.14592884857128097
Glycine,220715_Smp_GMP-Deep-Eve-T0-B-wIS.mzML,0.2876178421622096,GMP,Deep,0.05752356843244192
Glycine,220715_Smp_GMP-Surf-Eve-T0-A-wIS.mzML,0.46269868882253823,GMP,Surf,0.09253973776450765
Glycine,220715_Smp_GMP-Surf-Morn-T0-B-wIS.mzML,0.3803929655910993,GMP,Surf,0.07607859311821986
Glycine,220715_Smp_GMP-Deep-Morn-T0-C-wIS.mzML,0.4070168558378222,GMP,Deep,0.08140337116756445
